Tema,Año,Mes,Marca,Modelo,Tipo,Segmento,Produccion
Producción de vehículos,2005,Enero,Chrysler,PT Cruiser,Automóviles,Compactos, 7 397
Producción de vehículos,2005,Enero,Chrysler,RAM 1500-,Camiones ligeros,Pick Ups,536
Producción de vehículos,2005,Enero,Chrysler,RAM 2500-,Camiones ligeros,Pick Ups, 6 124
Producción de vehículos,2005,Enero,Chrysler,RAM 4000,Camiones ligeros,Pick Ups, 4 729
Producción de vehículos,2005,Enero,Ford Motor,F 150,Camiones ligeros,Pick Ups,763
Producción de vehículos,2005,Enero,Ford Motor,F 250,Camiones ligeros,Pick Ups,339
Producción de vehículos,2005,Enero,Ford Motor,F 350,Camiones ligeros,Pick Ups,667
Producción de vehículos,2005,Enero,Ford Motor,F 450,Camiones ligeros,Pick Ups,283
Producción de vehículos,2005,Enero,Ford Motor,F 550,Camiones ligeros,Pick Ups,37
Producción de vehículos,2005,Enero,Ford Motor,Fiesta Ikon,Automóviles,Subcompactos, 1 078
Producción de vehículos,2005,Enero,Ford Motor,Focus ZX3,Automóviles,Compactos, 2 563
Producción de vehículos,2005,Enero,Ford Motor,H - 215,Camiones ligeros,Pick Ups, 1 326
Producción de vehículos,2005,Enero,General Motors,Avalanche UUV,Camiones ligeros,Pick Ups, 3 676
Producción de vehículos,2005,Enero,General Motors,Aztek SUV,Camiones ligeros,SUV's,5
Producción de vehículos,2005,Enero,General Motors,Chevy 3 Ptas,Automóviles,Subcompactos, 2 780
Producción de vehículos,2005,Enero,General Motors,Chevy 4 PTAS,Automóviles,Subcompactos, 1 785
Producción de vehículos,2005,Enero,General Motors,Chevy 5 Ptas,Automóviles,Subcompactos, 1 904
Producción de vehículos,2005,Enero,General Motors,Escalade ESV SUV AWD,Camiones ligeros,Minivans,909
Producción de vehículos,2005,Enero,General Motors,Escalade EXT UUV 4X4,Camiones ligeros,Minivans,454
Producción de vehículos,2005,Enero,General Motors,HHR 5 PTAS,Automóviles,Compactos,12
Producción de vehículos,2005,Enero,General Motors,"Kodiak Chassis Cab Class 6 PBV23,900",Camiones ligeros,Pick Ups,46
Producción de vehículos,2005,Enero,General Motors,"Kodiak Chassis Cab Class 7 PBV33,000",Camiones ligeros,Pick Ups,115
Producción de vehículos,2005,Enero,General Motors,"Kodiak Chassis Cab Class 8 PBV36,000",Camiones ligeros,Pick Ups,19
Producción de vehículos,2005,Enero,General Motors,Rendezvous,Camiones ligeros,Minivans, 5 132
Producción de vehículos,2005,Enero,General Motors,Silverado 1500 Cabina Regular-,Camiones ligeros,Pick Ups,474
Producción de vehículos,2005,Enero,General Motors,Silverado 3500 Chassis Cab,Camiones ligeros,Pick Ups,364
Producción de vehículos,2005,Enero,General Motors,Silverado 3500 HD Chassis Cab Heavy Duty,Camiones ligeros,Pick Ups,206
Producción de vehículos,2005,Enero,General Motors,Suburban SUV-,Camiones ligeros,SUV's, 5 533
Producción de vehículos,2005,Enero,General Motors,Sunfire 4 Ptas,Automóviles,Compactos, 1 213
Producción de vehículos,2005,Enero,General Motors,Sunfire GT 2 Ptas,Automóviles,Compactos, 1 597
Producción de vehículos,2005,Enero,Honda,Accord,Automóviles,De Lujo, 2 030
Producción de vehículos,2005,Enero,Nissan,Chasis Largo,Camiones ligeros,Pick Ups, 1 943
Producción de vehículos,2005,Enero,Nissan,Estacas Largo,Camiones ligeros,Pick Ups,214
Producción de vehículos,2005,Enero,Nissan,Pickup Doble Cabina,Camiones ligeros,Pick Ups,571
Producción de vehículos,2005,Enero,Nissan,Pickup King Cab STD,Camiones ligeros,Pick Ups,0
Producción de vehículos,2005,Enero,Nissan,Pickup Largo,Camiones ligeros,Pick Ups,302
Producción de vehículos,2005,Enero,Nissan,Platina 4 PTS,Automóviles,Subcompactos, 3 813
